# 92-U-235(n,thermal chi) ENDF/B-VII.1
5.500000000000000000e+05,3.613702899044796238e-07
5.600000000000000000e+05,3.622612422957629095e-07
5.700000000000000000e+05,3.629740042087894852e-07
5.800000000000000000e+05,3.636867661218160608e-07
5.900000000000000000e+05,3.642213375565860323e-07
6.000000000000000000e+05,3.647559089913559508e-07
6.100000000000000000e+05,3.652904804261258693e-07
6.200000000000000000e+05,3.656468613826391835e-07
6.300000000000000000e+05,3.661814328174091021e-07
6.400000000000000000e+05,3.665378137739224163e-07
6.500000000000000000e+05,3.667160042521790735e-07
6.600000000000000000e+05,3.670723852086923878e-07
6.700000000000000000e+05,3.672505756869489920e-07
6.800000000000000000e+05,3.672505756869489920e-07
6.900000000000000000e+05,3.674287661652056491e-07
7.000000000000000000e+05,3.674287661652056491e-07
7.100000000000000000e+05,3.676069566434623063e-07
7.200000000000000000e+05,3.674287661652056491e-07
7.300000000000000000e+05,3.674287661652056491e-07
7.400000000000000000e+05,3.674287661652056491e-07
7.500000000000000000e+05,3.672505756869489920e-07
7.600000000000000000e+05,3.670723852086923878e-07
7.700000000000000000e+05,3.668941947304357306e-07
7.800000000000000000e+05,3.667160042521790735e-07
7.900000000000000000e+05,3.663596232956657592e-07
8.000000000000000000e+05,3.661814328174091021e-07
8.100000000000000000e+05,3.658250518608958407e-07
8.200000000000000000e+05,3.654686709043825264e-07
8.300000000000000000e+05,3.651122899478692650e-07
8.400000000000000000e+05,3.647559089913559508e-07
8.500000000000000000e+05,3.643995280348426365e-07
8.600000000000000000e+05,3.640431470783293751e-07
8.700000000000000000e+05,3.635085756435594037e-07
8.800000000000000000e+05,3.629740042087894852e-07
8.900000000000000000e+05,3.626176232522761709e-07
9.000000000000000000e+05,3.620830518175062524e-07
9.100000000000000000e+05,3.615484803827362809e-07
9.200000000000000000e+05,3.610139089479663624e-07
9.300000000000000000e+05,3.604793375131963910e-07
9.400000000000000000e+05,3.597665756001698153e-07
9.500000000000000000e+05,3.592320041653998968e-07
9.600000000000000000e+05,3.586974327306299783e-07
9.700000000000000000e+05,3.579846708176034027e-07
9.800000000000000000e+05,3.572719089045768270e-07
9.900000000000000000e+05,3.565591469915502514e-07
1.000000000000000000e+06,3.560245755567802800e-07
1.100000000000000000e+06,3.480060040352311319e-07
1.200000000000000000e+06,3.389182896441421997e-07
1.300000000000000000e+06,3.291178133400265860e-07
1.400000000000000000e+06,3.186045751228844496e-07
1.500000000000000000e+06,3.073785749927156847e-07
1.600000000000000000e+06,2.957961939060336583e-07
1.700000000000000000e+06,2.838574318628383177e-07
1.800000000000000000e+06,2.715622888631297157e-07
1.900000000000000000e+06,2.592671458634210608e-07
2.000000000000000000e+06,2.467938123854558017e-07
2.100000000000000000e+06,2.343204789074905426e-07
2.200000000000000000e+06,2.220253359077818612e-07
2.300000000000000000e+06,2.099083833863298899e-07
2.400000000000000000e+06,1.979696213431345758e-07
2.500000000000000000e+06,1.865654307347091801e-07
2.600000000000000000e+06,1.755532591784483984e-07
2.700000000000000000e+06,1.649687447700036097e-07
2.800000000000000000e+06,1.548297065572003845e-07
2.900000000000000000e+06,1.451539635878644520e-07
3.000000000000000000e+06,1.359771539576471649e-07
3.100000000000000000e+06,1.272992776665484700e-07
3.200000000000000000e+06,1.190846966189170547e-07
3.300000000000000000e+06,1.113334108147529055e-07
3.400000000000000000e+06,1.040454202540560623e-07
3.500000000000000000e+06,9.718508684117515922e-08
3.600000000000000000e+06,9.073459152828453314e-08
3.700000000000000000e+06,8.469393431538422379e-08
3.800000000000000000e+06,7.904529615464851517e-08
3.900000000000000000e+06,7.373521990260043130e-08
4.000000000000000000e+06,6.878152460706566173e-08
4.100000000000000000e+06,6.413075312456717754e-08
4.200000000000000000e+06,5.978290545510500521e-08
4.300000000000000000e+06,5.572016255085344858e-08
4.400000000000000000e+06,5.194252441181253412e-08
4.500000000000000000e+06,4.837871484667960294e-08
4.600000000000000000e+06,4.506437195110597457e-08
4.700000000000000000e+06,4.198167667726597930e-08
4.800000000000000000e+06,3.907717188168263457e-08
4.900000000000000000e+06,3.638649566000727312e-08
5.000000000000000000e+06,3.385619086876288590e-08
5.100000000000000000e+06,3.150407655577514920e-08
5.200000000000000000e+06,2.929451462539273028e-08
5.300000000000000000e+06,2.724532412544129221e-08
5.400000000000000000e+06,2.533868600809517191e-08
5.500000000000000000e+06,2.353896217770303994e-08
5.600000000000000000e+06,2.186397168209055938e-08
5.700000000000000000e+06,2.031371452125773352e-08
5.800000000000000000e+06,1.885255259955322962e-08
5.900000000000000000e+06,1.750721448871554890e-08
6.000000000000000000e+06,1.624562590265848591e-08
6.100000000000000000e+06,1.506956874616461756e-08
6.200000000000000000e+06,1.397547920966880826e-08
6.300000000000000000e+06,1.295622967404078682e-08
6.400000000000000000e+06,1.200825632971542758e-08
6.500000000000000000e+06,1.112621346234502466e-08
6.600000000000000000e+06,1.030475535758188379e-08
6.700000000000000000e+06,9.542100110643434677e-09
6.800000000000000000e+06,8.834683911964546700e-09
6.900000000000000000e+06,8.177161047197520607e-09
7.000000000000000000e+06,7.565967706777222460e-09
7.100000000000000000e+06,6.999321985921086118e-09
7.200000000000000000e+06,6.473660075063977644e-09
7.300000000000000000e+06,5.985418164640765583e-09
7.400000000000000000e+06,5.534596254651449107e-09
7.500000000000000000e+06,5.115848630748329793e-09
7.600000000000000000e+06,4.727393388148839018e-09
7.700000000000000000e+06,4.367448622070412294e-09
7.800000000000000000e+06,4.036014332513049621e-09
7.900000000000000000e+06,3.727744805129050922e-09
8.000000000000000000e+06,3.442640039918415369e-09
8.100000000000000000e+06,3.180700036881145030e-09
8.200000000000000000e+06,2.936579081669539000e-09
8.300000000000000000e+06,2.712059079066163833e-09
8.400000000000000000e+06,2.503576219505887246e-09
8.500000000000000000e+06,2.311130502988708827e-09
8.600000000000000000e+06,2.132940024732062020e-09
8.700000000000000000e+06,1.969004784735946825e-09
8.800000000000000000e+06,1.817542878217797308e-09
8.900000000000000000e+06,1.676772400395046086e-09
9.000000000000000000e+06,1.547406113180720568e-09
9.100000000000000000e+06,1.427840302270510688e-09
9.200000000000000000e+06,1.317362205751389660e-09
9.300000000000000000e+06,1.215437252188587598e-09
9.400000000000000000e+06,1.121352679669078131e-09
9.500000000000000000e+06,1.034395726279834469e-09
9.600000000000000000e+06,9.542100110643434264e-10
9.700000000000000000e+06,8.802609625878351193e-10
9.800000000000000000e+06,8.118358189372827603e-10
9.900000000000000000e+06,7.487563896344297558e-10
1.000000000000000000e+07,6.906662937227629191e-10
1.020000000000000000e+07,5.873158163339077999e-10
1.040000000000000000e+07,4.992897200751242673e-10
1.060000000000000000e+07,4.244497192073325794e-10
1.080000000000000000e+07,3.608357184697097429e-10
1.100000000000000000e+07,3.064876226014324544e-10
1.120000000000000000e+07,2.603362887329609462e-10
1.140000000000000000e+07,2.211343835164986507e-10
1.160000000000000000e+07,1.876345736042490777e-10
1.180000000000000000e+07,1.593022875614422141e-10
1.200000000000000000e+07,1.351574777576665891e-10
1.220000000000000000e+07,1.146477537103265278e-10
1.240000000000000000e+07,9.720290588900080967e-11
1.260000000000000000e+07,8.239527714587347082e-11
1.280000000000000000e+07,6.983284842877987123e-11
1.300000000000000000e+07,5.915923878120673353e-11
1.320000000000000000e+07,5.012498153359473899e-11
1.340000000000000000e+07,4.244497192073326440e-11
1.360000000000000000e+07,3.594101946436565817e-11
1.380000000000000000e+07,3.043493368623527513e-11
1.400000000000000000e+07,2.574852410808546044e-11
1.420000000000000000e+07,2.179269549078790121e-11
1.440000000000000000e+07,1.842489545173727616e-11
1.460000000000000000e+07,1.558275732354376207e-11
1.480000000000000000e+07,1.317362205751389718e-11
1.500000000000000000e+07,1.113512298625785828e-11
1.520000000000000000e+07,9.410239156733515558e-12
1.540000000000000000e+07,7.949077235029012704e-12
1.560000000000000000e+07,6.714217220710449809e-12
1.580000000000000000e+07,5.670021018126500587e-12
1.600000000000000000e+07,4.787978150756099326e-12
1.620000000000000000e+07,4.041360046860749092e-12
1.640000000000000000e+07,3.410565753832219177e-12
1.660000000000000000e+07,2.877776223844845631e-12
1.680000000000000000e+07,2.428736218638095597e-12
