92-U-238(n,total) ENDF/B-VII.1
352.487,18.3263
352.854,17.267
353.936,16.392
354.995,15.4682
358.58,14.1267
365.224,13.0784
367.68,12.8587
368.391,13.0474
369.567,12.6964
372.116,12.5146
372.978,12.9795
373.752,12.3995
375.063,12.2702
375.679,12.4719
376.047,12.3211
376.231,12.6529
376.331,13.3616
376.429,14.6888
376.542,17.2388
376.844,26.8579
376.957,28.6048
376.986,28.6818
377.089,27.7005
377.229,23.9612
377.407,18.4118
377.529,15.6452
377.651,14.0111
377.779,13.1739
377.993,12.7031
379.712,12.3026
389.49,11.7235
390.339,11.9287
391.584,11.5693
394.081,11.3076
394.559,11.5939
394.897,11.9404
395.682,10.9213
396.567,10.3905
396.709,10.6319
396.815,11.4644
396.886,12.7008
396.939,14.2039
396.992,16.3775
397.053,19.8628
397.12,25.3377
397.196,33.5472
397.296,47.5698
397.489,77.3655
397.588,87.2447
397.663,89.7918
397.753,86.531
397.845,77.109
398.095,41.2349
398.174,32.1207
398.25,25.606
398.312,21.6816
398.383,18.5269
398.454,16.4581
398.525,15.1481
398.645,13.952
398.886,13.0842
399.539,12.3777
402.4,11.5425
406.505,10.6124
407.127,10.4196
407.722,10.8176
407.991,10.4648
408.509,9.25588
409.121,8.26408
409.226,8.44893
409.304,9.08631
409.371,10.3213
409.427,12.1683
409.472,14.4323
409.516,17.6388
409.561,22.0489
409.605,27.9476
409.656,36.7223
409.708,48.7951
409.763,64.8295
409.834,90.7295
409.929,133.141
410.106,217.324
410.204,248.588
410.292,258.258
410.371,250.158
410.451,227.701
410.585,170.3
410.721,109.722
410.804,80.0913
410.87,61.7513
410.935,47.8549
410.994,38.6598
411.06,31.4059
411.126,26.504
411.204,22.7564
411.283,20.4815
411.362,19.0644
411.551,17.2538
411.866,15.8295
412.369,14.6673
413.334,13.625
415.465,12.7464
415.729,12.7246
416.125,12.7715
418.031,12.2924
430.039,11.179
432.062,10.5561
432.957,9.84114
433.106,10.0508
433.205,10.8006
433.276,11.9914
433.338,13.7953
433.4,16.6149
433.451,19.9834
433.514,25.5409
433.576,33.0161
433.645,43.8011
433.743,63.1393
433.94,106.432
434.038,121.62
434.129,127.249
434.138,127.298
434.224,123.111
434.316,110.377
434.59,55.3153
434.677,41.5133
434.749,32.7899
434.82,26.5808
434.892,22.131
434.965,19.1812
435.027,17.5074
435.11,16.088
435.242,14.896
435.507,13.9354
436.17,13.0478
437.544,12.3987
438.654,12.1769
439.047,12.3737
439.319,13.3048
439.66,15.0735
439.749,15.1971
439.961,14.5485
440.262,12.8305
440.493,12.1519
440.91,11.9114
443.523,11.7294
444.415,11.9402
445.846,11.6109
446.845,11.5718
447.72,11.9383
447.848,11.9731
448.848,11.4929
452.851,11.3452
453.366,11.5502
453.577,12.2129
453.817,13.9512
454.059,15.7909
454.161,16.0253
454.308,15.5543
454.672,12.6149
454.83,11.8306
455.05,11.4277
455.165,11.3915
455.493,11.4268
457.729,11.0961
460.954,10.6921
462.103,10.2364
462.286,10.5607
462.395,11.4141
462.468,12.5763
462.541,14.4795
462.609,17.1234
462.686,21.452
462.772,27.9806
462.877,38.3711
463.06,58.2297
463.165,66.5519
463.265,69.6808
463.273,69.6969
463.358,67.7161
463.467,60.2353
463.738,33.3201
463.824,26.5004
463.911,21.408
464.001,17.8164
464.081,15.731
464.182,14.1741
464.302,13.2182
464.554,12.4785
465.391,11.8497
466.338,11.6075
467.138,11.9129
468.076,11.3704
475.742,10.7579
477.408,10.3819
477.578,10.8695
477.684,11.842
477.766,13.2523
477.855,15.7406
477.944,19.4778
478.032,24.5588
478.206,37.267
478.329,45.8167
478.44,50.6412
478.509,51.5515
478.612,49.6781
478.727,43.7912
478.977,26.6212
479.078,21.222
479.163,17.9258
479.255,15.4572
479.353,13.8484
479.47,12.8026
479.672,12.0803
480.162,11.6238
482.623,11.1224
484.075,11.0078
484.676,11.156
485.293,12.0449
485.681,11.4738
485.993,11.0022
487.771,10.7117
488.062,10.9716
488.22,11.6321
488.371,12.9831
488.596,16.2689
488.791,18.8909
488.91,19.4285
489.056,18.6355
489.444,13.3604
489.565,12.2735
489.735,11.4499
489.905,11.1218
490.584,10.8836
497.701,10.4624
498.277,10.599
498.917,11.4607
499.321,10.9003
499.638,10.4676
509.974,9.37595
512.84,8.66862
514.563,7.84888
515.712,6.85218
516.465,5.75126
517.035,4.67985
517.082,4.65556
517.161,4.7413
517.224,5.01175
517.286,5.59965
517.341,6.53205
517.388,7.79531
517.428,9.29976
517.467,11.3419
517.511,14.4273
517.556,18.7174
517.6,24.4364
517.645,31.9088
517.695,42.5636
517.745,56.5609
517.801,76.3193
517.865,104.499
517.942,147.484
518.052,222.608
518.246,364.019
518.353,419.658
518.452,440.515
518.467,440.793
518.554,427.069
518.666,376.872
518.958,181.344
519.052,130.406
519.13,97.5781
519.193,77.3837
519.261,60.9763
519.328,49.0188
519.395,40.5064
519.462,34.5359
519.552,29.2731
519.637,26.0853
519.765,23.1206
519.978,20.3502
520.234,18.397
520.629,16.5452
521.316,14.7392
522.292,13.4163
522.489,13.3416
522.821,13.8426
523.242,15.1324
523.282,15.1475
523.531,14.513
523.962,12.6025
524.288,12.0584
531.494,9.30289
531.771,9.33919
532.183,9.05249
533.579,6.67705
534.008,5.84468
534.038,5.83256
534.128,5.95826
534.203,6.39786
534.263,7.14776
534.316,8.26392
534.361,9.71003
534.406,11.7677
534.451,14.6231
534.494,18.312
534.539,23.3983
534.59,30.9707
534.641,40.9005
534.693,53.892
534.751,72.6841
534.822,101.301
534.907,144.419
535.05,231.942
535.196,320.457
535.307,366.82
535.407,381.416
535.508,367.24
535.597,333.502
535.758,243.548
535.904,160.422
535.999,116.757
536.076,88.8631
536.147,69.3015
536.211,55.8936
536.275,45.928
536.35,37.6856
536.415,32.77
536.501,28.3328
536.608,24.9119
536.737,22.4732
536.994,19.8095
537.371,17.7143
537.989,15.8687
538.813,14.5635
540.445,13.2961
541.806,12.7793
542.354,13.2208
542.653,13.4996
543.167,12.7472
543.789,12.2287
550.021,11.4056
550.754,11.7682
551.011,11.9041
551.976,11.2433
554.956,11.0349
555.329,11.386
555.55,12.303
555.789,14.2315
556.09,16.768
556.27,17.268
556.491,16.5548
557.047,12.3118
557.279,11.3182
557.65,10.8542
570.666,9.63153
574.392,8.87531
576.304,8.1138
577.436,7.29481
578.19,6.37396
578.764,5.40862
578.823,5.37469
578.921,5.49935
579.0,5.92088
579.059,6.5777
579.118,7.69658
579.167,9.13507
579.216,11.2021
579.265,14.0918
579.314,18.0309
579.363,23.2745
579.417,30.875
579.471,40.7478
579.534,55.5293
579.599,74.8537
579.675,102.77
579.791,155.535
580.008,260.233
580.121,297.755
580.226,310.627
580.334,298.825
580.451,262.027
580.739,132.629
580.835,97.0497
